Job_Title,Industry,Company_Size,Location,AI_Adoption_Level,Automation_Risk,Required_Skills,Salary_USD,Remote_Friendly,Job_Growth_Projection
Cybersecurity Analyst,Entertainment,Small,Dubai,Medium,High,UX/UI Design,111392.16524315962,Yes,Growth
Marketing Specialist,Technology,Large,Singapore,Medium,High,Marketing,93792.56246610906,No,Decline
AI Researcher,Technology,Large,Singapore,Medium,High,UX/UI Design,107170.26306894995,Yes,Growth
Sales Manager,Retail,Small,Berlin,Low,High,Project Management,93027.95375786415,No,Growth
Cybersecurity Analyst,Entertainment,Small,Tokyo,Low,Low,JavaScript,87752.92217059238,Yes,Decline
UX Designer,Education,Large,San Francisco,Medium,Medium,Cybersecurity,102825.00786656779,No,Growth
HR Manager,Finance,Medium,Singapore,Low,High,Sales,102065.72067347592,Yes,Growth
Cybersecurity Analyst,Technology,Small,Dubai,Medium,Low,Machine Learning,86607.3176180969,Yes,Decline
AI Researcher,Retail,Large,London,High,Low,JavaScript,75015.86084571481,No,Stable
Sales Manager,Entertainment,Medium,Singapore,High,Low,Cybersecurity,96834.57829480869,Yes,Decline
Marketing Specialist,Finance,Small,London,High,High,Python,91566.97337925188,Yes,Growth
AI Researcher,Entertainment,Medium,Singapore,Medium,High,UX/UI Design,78902.56574458485,No,Growth
AI Researcher,Transportation,Large,San Francisco,High,Medium,Python,73151.99034926406,Yes,Growth
HR Manager,Retail,Small,Paris,Low,High,Cybersecurity,98209.51687788912,Yes,Decline
Product Manager,Finance,Medium,Singapore,High,High,JavaScript,101001.90114055389,Yes,Growth
Sales Manager,Telecommunications,Small,Dubai,High,Low,UX/UI Design,82799.35770690278,No,Growth
Software Engineer,Manufacturing,Medium,Singapore,High,Medium,Machine Learning,78401.25928174148,No,Decline
AI Researcher,Manufacturing,Large,Tokyo,Low,High,Project Management,73394.89621925619,No,Stable
Product Manager,Finance,Large,San Francisco,Medium,High,UX/UI Design,97645.09878289838,Yes,Stable
Software Engineer,Entertainment,Small,Dubai,Low,Low,UX/UI Design,73920.45852718527,Yes,Growth
Sales Manager,Retail,Medium,Sydney,Medium,Low,JavaScript,134822.69138041462,Yes,Decline
Data Scientist,Manufacturing,Small,Dubai,Medium,High,JavaScript,81794.37128058006,Yes,Growth
UX Designer,Retail,Small,Tokyo,High,Medium,Cybersecurity,41495.71444254798,No,Decline
Product Manager,Manufacturing,Medium,Paris,Medium,Medium,Data Analysis,89396.5666674173,Yes,Decline
Operations Manager,Transportation,Medium,San Francisco,Low,Low,UX/UI Design,88539.33040362394,Yes,Stable
Data Scientist,Entertainment,Medium,Sydney,Low,Low,Sales,112234.37135048377,Yes,Stable
UX Designer,Transportation,Large,Tokyo,Medium,High,UX/UI Design,95762.52473455408,No,Decline
HR Manager,Manufacturing,Small,Tokyo,High,Low,Cybersecurity,73323.29633120395,Yes,Growth
Cybersecurity Analyst,Telecommunications,Small,New York,High,High,Marketing,84272.16253006447,Yes,Stable
Marketing Specialist,Telecommunications,Large,San Francisco,Low,Medium,Python,96548.39543301976,Yes,Growth
Operations Manager,Transportation,Medium,Dubai,High,Medium,Project Management,46705.714993791786,Yes,Stable
HR Manager,Telecommunications,Large,London,Medium,High,Data Analysis,116772.43468780901,Yes,Stable
Sales Manager,Manufacturing,Large,Paris,Medium,Low,Machine Learning,73376.6022839067,No,Growth
HR Manager,Finance,Large,London,Low,Medium,Machine Learning,118340.87641895234,Yes,Stable
Cybersecurity Analyst,Transportation,Small,Dubai,Medium,Low,Machine Learning,97849.30282253177,Yes,Stable
Sales Manager,Healthcare,Large,Dubai,Low,Medium,JavaScript,102591.88272787949,Yes,Growth
Operations Manager,Entertainment,Small,San Francisco,Medium,High,Machine Learning,112988.46872002544,Yes,Stable
Cybersecurity Analyst,Telecommunications,Small,Dubai,Low,High,Project Management,101462.64105384996,Yes,Stable
Software Engineer,Telecommunications,Small,New York,High,High,Python,103457.72432634902,Yes,Stable
Marketing Specialist,Technology,Medium,Sydney,Medium,Medium,Machine Learning,86711.67119077238,Yes,Growth
Operations Manager,Education,Small,Dubai,Medium,Low,UX/UI Design,97443.3736294419,Yes,Decline
Software Engineer,Transportation,Small,London,Low,Low,UX/UI Design,78250.04370056515,Yes,Growth
UX Designer,Energy,Medium,Dubai,Low,Low,JavaScript,83131.77800824065,Yes,Decline
Operations Manager,Telecommunications,Small,New York,Medium,Medium,Project Management,129293.90095937817,No,Stable
UX Designer,Entertainment,Large,Singapore,Low,Medium,Python,73836.12829899156,No,Decline
Sales Manager,Healthcare,Large,Singapore,Medium,Medium,Data Analysis,93086.34253272561,No,Growth
Software Engineer,Telecommunications,Small,Tokyo,High,Medium,Cybersecurity,92269.38073430952,No,Growth
Marketing Specialist,Healthcare,Medium,Paris,Low,Medium,Python,83784.91056438402,Yes,Stable
Cybersecurity Analyst,Manufacturing,Large,Berlin,Medium,Low,Cybersecurity,100288.01873140875,No,Decline
AI Researcher,Manufacturing,Medium,Sydney,High,Medium,Marketing,101794.44185482766,No,Stable
HR Manager,Education,Medium,Toronto,High,Medium,Cybersecurity,71483.61633704841,Yes,Stable
Data Scientist,Finance,Large,Tokyo,Medium,Low,Sales,92027.13423093103,No,Growth
Marketing Specialist,Energy,Medium,Paris,Low,Medium,UX/UI Design,68352.65322455287,No,Decline
Software Engineer,Technology,Large,Singapore,Medium,Low,Project Management,105770.97236634602,Yes,Decline
AI Researcher,Education,Medium,London,High,Low,Communication,93529.74620725251,Yes,Decline
Marketing Specialist,Retail,Large,Toronto,Medium,High,JavaScript,91646.59773434175,Yes,Decline
Software Engineer,Technology,Small,Paris,Low,High,Sales,103180.62697744806,No,Stable
Product Manager,Transportation,Large,Paris,High,High,Cybersecurity,84489.79419063198,No,Stable
Product Manager,Entertainment,Large,Tokyo,Medium,High,Machine Learning,108280.43918436409,Yes,Growth
UX Designer,Retail,Large,Toronto,Low,Medium,Project Management,71031.10254487729,Yes,Stable
Marketing Specialist,Retail,Large,San Francisco,High,High,Sales,118237.53037789055,No,Stable
Product Manager,Education,Medium,Berlin,Low,Low,JavaScript,78981.77634890293,Yes,Growth
Software Engineer,Finance,Small,San Francisco,High,Medium,UX/UI Design,56076.41864608825,No,Growth
UX Designer,Education,Large,Toronto,Medium,High,Project Management,83429.30183074536,Yes,Growth
Software Engineer,Transportation,Medium,San Francisco,Low,Low,JavaScript,81160.63605491581,Yes,Stable
UX Designer,Telecommunications,Small,New York,High,Medium,Marketing,83278.52027699928,No,Stable
Marketing Specialist,Telecommunications,Small,Singapore,Low,Medium,Marketing,94632.96030967965,Yes,Growth
AI Researcher,Finance,Small,New York,Low,High,JavaScript,111956.84721776545,Yes,Growth
Cybersecurity Analyst,Transportation,Small,Dubai,Medium,Medium,Sales,86165.88172205727,Yes,Growth
Operations Manager,Finance,Large,San Francisco,Low,Low,Project Management,76167.64860362199,No,Stable
AI Researcher,Healthcare,Large,Dubai,High,Medium,Sales,67469.06375432406,Yes,Stable
Sales Manager,Telecommunications,Medium,London,High,Low,Data Analysis,80636.34417381912,Yes,Decline
Software Engineer,Retail,Medium,Sydney,High,Medium,Cybersecurity,52243.50321499295,Yes,Stable
Sales Manager,Energy,Medium,London,High,High,Data Analysis,75497.33812967277,Yes,Stable
AI Researcher,Entertainment,Small,Toronto,Medium,Low,Marketing,114881.07791724373,Yes,Stable
UX Designer,Transportation,Small,Paris,Low,Medium,UX/UI Design,73532.81590843154,Yes,Growth
Operations Manager,Technology,Large,Singapore,Medium,Medium,Python,102574.31721600611,No,Stable
Operations Manager,Finance,Small,San Francisco,Low,Medium,Cybersecurity,65470.358203830205,No,Growth
Data Scientist,Entertainment,Small,Tokyo,Low,Low,Marketing,125421.91798621108,Yes,Decline
Operations Manager,Technology,Small,Sydney,Low,Low,Sales,126752.1346612942,No,Decline
Cybersecurity Analyst,Entertainment,Medium,Berlin,Medium,Low,Sales,101820.43113119753,No,Growth
Operations Manager,Energy,Medium,Berlin,Low,High,Sales,129825.05203287043,Yes,Growth
AI Researcher,Technology,Large,Berlin,Medium,High,UX/UI Design,97115.85949855324,No,Growth
Data Scientist,Education,Small,San Francisco,High,Low,Data Analysis,105370.34228299113,No,Stable
AI Researcher,Manufacturing,Small,Berlin,High,Medium,Python,115238.6775346307,No,Decline
